date,cashSell,cashBuy,spotSell,spotBuy
2018-0102,0.2546,0.2656,0.2610,0.2650
2018-0103,0.2549,0.2659,0.2613,0.2653
2018-0104,0.2543,0.2653,0.2607,0.2647
2018-0105,0.2524,0.2634,0.2588,0.2628
2018-0108,0.2519,0.2629,0.2583,0.2623
2018-0109,0.2536,0.2646,0.2600,0.2640
2018-0110,0.2560,0.2670,0.2624,0.2664
2018-0111,0.2564,0.2674,0.2628,0.2668
2018-0112,0.2573,0.2683,0.2637,0.2677
2018-0115,0.2582,0.2692,0.2646,0.2686
2018-0116,0.2585,0.2695,0.2649,0.2689
2018-0117,0.2584,0.2694,0.2648,0.2688
2018-0118,0.2573,0.2683,0.2637,0.2677
2018-0119,
